Kennziffer,Raumeinheit,Aggregat,Bevölkerung,Kinos,Kinosäle,Kinositzplätze,Einwohnerdichte,Siedlungs- und Verkehrsfläche,ÖV-Haltestellen,ÖV-Abfahrten
6611000,Kassel,Oberzentrum,204202,5,26,4098,1912.18,61.51,324,64122
6631009,Fulda,Oberzentrum,69968,3,10,1813,672.45,30.77,187,15267
7111000,Koblenz,Oberzentrum,115268,3,20,2829,1095.18,37,254,27760
7211000,Trier,Oberzentrum,112195,3,13,2261,958.44,32.56,253,33763
7312000,Kaiserslautern,Oberzentrum,101228,3,14,2675,724.61,29.53,245,25860
7314000,Ludwigshafen am Rhein,Oberzentrum,174265,1,11,2033,2250.61,61.15,192,35147
7315000,Mainz,Oberzentrum,220552,5,17,3426,2256.75,49.21,254,61694
8111000,Stuttgart,Oberzentrum,632865,11,42,9285,3052.45,51.77,509,155607
8121000,Heilbronn,Oberzentrum,128334,3,11,2053,1284.75,36.26,183,28484
8212000,Karlsruhe,Oberzentrum,308707,4,19,4385,1780.11,46.8,331,81076
8221000,Heidelberg,Oberzentrum,162273,5,6,803,1491.07,30.58,238,47709
8222000,Mannheim,Oberzentrum,315554,5,22,4267,2176.68,58.18,359,71060
8231000,Pforzheim,Oberzentrum,127849,3,14,2580,1304.71,32.48,275,37188
8311000,Freiburg im Breisgau,Oberzentrum,236140,6,22,4350,1543,32.29,231,48394
8317096,Offenburg,Oberzentrum,61670,2,9,1435,786.91,29.25,119,9741
8326074,Villingen-Schwenningen,Oberzentrum,88213,4,14,2513,532.91,20.2,221,20042
8335043,Konstanz,Oberzentrum,85859,2,10,1537,1586.46,31.26,99,17075
8336050,Lörrach,Oberzentrum,49876,3,8,1153,1266.85,32.31,96,9008
8336091,Weil am Rhein,Oberzentrum,30769,1,5,690,1581.14,51.54,39,2921
8415061,Reutlingen,Oberzentrum,117547,2,9,1322,1350.49,38.84,174,33097
8416041,Tübingen,Oberzentrum,92811,4,8,1812,858.8,22.92,195,35430
8421000,Ulm,Oberzentrum,128928,4,13,2639,1086.35,33.54,199,37444
8435016,Friedrichshafen,Oberzentrum,62932,2,9,1431,899.93,29.63,139,15458
8436064,Ravensburg,Oberzentrum,51482,2,12,2301,559.28,21.9,96,9655
8436082,Weingarten,Oberzentrum,25257,1,2,245,2077.06,54.03,46,3373
9161000,Ingolstadt,Oberzentrum,141029,4,15,2047,1057.59,37.02,268,34184
9162000,München,Oberzentrum,1512491,30,71,15204,4868.01,75.37,1030,375674
9163000,Rosenheim,Oberzentrum,64403,1,8,1168,1730.33,41.91,116,6088
9171111,Altötting,Oberzentrum,13104,0,0,0,568.01,22.06,20,673
9171112,Burghausen,Oberzentrum,19364,1,4,520,977.49,50.28,12,109
9171125,Neuötting,Oberzentrum,8997,0,0,0,245.82,14.51,23,600
9172114,Bad Reichenhall,Oberzentrum,18893,1,3,215,450.69,15.74,40,2567
9172118,Freilassing,Oberzentrum,17816,0,0,0,1202.97,36.19,12,517
9177117,Erding,Oberzentrum,36813,1,10,995,674.11,27.78,88,5996
9178124,Freising,Oberzentrum,49339,0,0,0,556.94,24.48,118,10774
9180117,Garmisch-Partenkirchen,Oberzentrum,27482,2,5,628,133.63,5.4,49,3439
9183128,Mühldorf a.Inn,Oberzentrum,21697,1,4,932,737.49,32.53,47,1922
9183148,Waldkraiburg,Oberzentrum,24488,0,0,0,1135.81,33.72,40,1249
9189155,Traunstein,Oberzentrum,21251,1,3,680,437.53,18.04,50,1404
9190157,Weilheim i.OB,Oberzentrum,23056,2,6,729,415.42,16.45,85,2628
9261000,Landshut,Oberzentrum,75457,2,12,1642,1146.24,34.09,182,14262
9262000,Passau,Oberzentrum,53907,3,12,2053,774.97,32.72,223,22197
9263000,Straubing,Oberzentrum,49164,1,8,813,727.39,30.39,125,5932
9271119,Deggendorf,Oberzentrum,35172,2,6,1036,455.95,22.4,155,3885
9271146,Plattling,Oberzentrum,13121,1,6,1084,365.49,25.74,40,893
9279112,Dingolfing,Oberzentrum,20607,1,4,454,468.34,29.43,16,223
9361000,Amberg,Oberzentrum,42534,1,8,1020,848.47,35.83,144,8981
9362000,Regensburg,Oberzentrum,157443,6,16,2099,1947.11,57,254,51885
9363000,Weiden i.d.OPf.,Oberzentrum,43052,1,3,474,610.06,30.1,135,9694
9372116,Cham,Oberzentrum,17421,1,9,996,215.9,19.33,105,1650
9373147,Neumarkt i.d.OPf.,Oberzentrum,40808,2,8,1131,516.49,25.52,129,4632
9377158,Waldsassen,Oberzentrum,6628,0,0,0,99.62,8.9,15,176
9461000,Bamberg,Oberzentrum,79935,3,11,1894,1463.47,50.38,149,17495
9462000,Bayreuth,Oberzentrum,74506,2,9,1161,1113.86,42.38,203,17696
9463000,Coburg,Oberzentrum,41842,1,9,1351,866.47,41.38,157,12608
9464000,Hof,Oberzentrum,46656,2,10,1683,804.14,37.38,137,9730
9474126,Forchheim,Oberzentrum,32972,2,4,820,741.94,29.05,73,20086
9477128,Kulmbach,Oberzentrum,25818,1,4,384,278.3,19.27,45,834
9479136,Marktredwitz,Oberzentrum,17206,1,5,823,347.46,21.99,46,1126
9479152,Selb,Oberzentrum,14763,1,3,290,171.52,14.57,63,1028
9479169,Wunsiedel,Oberzentrum,9243,0,0,0,168.42,13.48,28,796
9561000,Ansbach,Oberzentrum,42221,3,8,1579,422.59,23.73,134,6383
9562000,Erlangen,Oberzentrum,116562,4,16,2322,1514.58,42.09,174,38028
9563000,Fürth,Oberzentrum,131433,3,9,1202,2074.71,47.26,179,32067
9564000,Nürnberg,Oberzentrum,523026,13,45,8828,2805.33,61.71,524,154175
9565000,Schwabach,Oberzentrum,41227,2,4,266,1010.47,34.73,88,6668
9661000,Aschaffenburg,Oberzentrum,72444,2,14,1859,1160.03,39.89,162,20522
9662000,Schweinfurt,Oberzentrum,54675,3,15,993,1531.51,55.41,136,13678
9663000,Würzburg,Oberzentrum,127810,2,10,2149,1459.02,48.9,266,44484
9672114,Bad Kissingen,Oberzentrum,23037,1,3,471,329.48,19.81,103,3325
9673114,Bad Neustadt a.d.Saale,Oberzentrum,15558,2,5,614,421.63,24.2,59,2591
9761000,Augsburg,Oberzentrum,301033,7,28,7394,2049.94,44.13,279,66540
9762000,Kaufbeuren,Oberzentrum,45792,3,11,1704,1144.23,38.63,90,5147
9763000,Kempten (Allgäu),Oberzentrum,70056,2,8,2618,1107.08,32.65,193,15643
9764000,Memmingen,Oberzentrum,45857,2,11,1261,654.07,26.56,85,3241
9773125,Dillingen a.d.Donau,Oberzentrum,19814,1,4,570,262.12,16.76,51,1667
9773144,Lauingen (Donau),Oberzentrum,11229,0,0,0,252.96,18.88,33,553
9774135,Günzburg,Oberzentrum,21486,1,4,670,387.83,24.31,56,1449
9774155,Leipheim,Oberzentrum,7500,0,0,0,233.21,19.09,8,278
9775135,Neu-Ulm,Oberzentrum,61043,1,11,2650,754.08,30.92,114,13341
9776116,Lindau (Bodensee),Oberzentrum,25846,3,4,429,781.79,31.25,55,751
9779131,Donauwörth,Oberzentrum,19994,1,3,526,259.53,18.81,71,3761
9779194,Nördlingen,Oberzentrum,21009,2,6,1022,308.55,19.65,60,861
9780124,Immenstadt i.Allgäu,Oberzentrum,14512,1,2,360,178.19,9.55,117,2609
9780139,Sonthofen,Oberzentrum,21859,1,2,280,469.58,15.88,38,1032
10041100,Saarbrücken,Oberzentrum,181959,7,27,5308,1086.19,35.88,375,53279
11000000,Berlin,Oberzentrum,3755251,81,258,43754,4214.08,70.6,2674,970036
12051000,Brandenburg an der Havel,Oberzentrum,73609,3,12,1478,320.43,21.7,169,20278
12052000,Cottbus,Oberzentrum,99515,5,7,1236,600.86,30.84,204,21359
12053000,Frankfurt (Oder),Oberzentrum,58230,1,6,1392,393.85,23.05,130,16602
12054000,Potsdam,Oberzentrum,185750,4,14,2003,986.77,31.62,246,53600
13003000,Rostock,Oberzentrum,209920,5,14,3323,1157.48,40.81,229,48938
13004000,Schwerin,Oberzentrum,98596,2,12,2227,755.41,32.03,151,21731
13071107,Neubrandenburg,Oberzentrum,63989,2,9,1813,743.02,34.36,113,9566
13073088,Stralsund,Oberzentrum,59363,1,6,1178,1087.43,41.11,89,10157
13075039,Greifswald,Oberzentrum,59691,1,6,933,1174.79,41.09,73,7006
14511000,Chemnitz,Oberzentrum,248563,9,20,2876,1124.57,45.33,477,70997
14523320,Plauen,Oberzentrum,64763,1,8,1162,634.25,26.91,109,11103
14524330,Zwickau,Oberzentrum,87172,2,12,942,849.8,40.91,168,18919
14612000,Dresden,Oberzentrum,563311,14,52,10953,1714.9,44.01,695,187030
14625020,Bautzen,Oberzentrum,38140,2,9,778,572.07,27.79,91,8091
14625240,Hoyerswerda,Oberzentrum,31356,2,5,591,330.1,19.51,87,5718
14626110,Görlitz,Oberzentrum,56574,3,11,924,837.76,35.21,99,8328
14713000,Leipzig,Oberzentrum,616093,13,38,6368,2068.81,55.29,567,139805
15001000,Dessau-Roßlau,Oberzentrum,79655,2,8,1422,325.06,20.46,193,15806
15002000,Halle (Saale),Oberzentrum,242083,6,15,2624,1792.81,52.92,290,60209
15003000,Magdeburg,Oberzentrum,239364,7,25,5846,1190.63,47.37,277,64042
16051000,Erfurt,Oberzentrum,214969,3,11,2178,796.45,31.65,290,41148
16052000,Gera,Oberzentrum,93634,2,4,230,615.28,29.02,187,20207
16053000,Jena,Oberzentrum,111191,4,12,3069,968.82,31.46,131,27543
99999999,kein Oberzentrum,Oberzentrum,55371008,835,2337,346309,163.49,12.56,176343,6989962
