Kennziffer,Raumeinheit,Aggregat,Bevölkerung,Kinos,Kinosäle,Kinositzplätze,Einwohnerdichte,Siedlungs- und Verkehrsfläche,ÖV-Haltestellen,ÖV-Abfahrten
3151025,Sassenburg,Grundzentrum,12092,0,0,0,136.57,12.79,33,1664
3151027,Schwülper,Grundzentrum,7395,0,0,0,353.15,23.64,26,1257
3151029,Steinhorst,Grundzentrum,1259,0,0,0,21.72,6.02,10,124
3151036,Wahrenholz,Grundzentrum,3696,0,0,0,63.72,8.4,14,420
3151038,Wesendorf,Grundzentrum,5667,0,0,0,181.11,17.03,18,883
3151039,Weyhausen,Grundzentrum,2742,0,0,0,343.18,25.41,4,403
3153008,Liebenburg,Grundzentrum,7658,0,0,0,97.54,10.48,24,850
3153016,Braunlage,Grundzentrum,5585,0,0,0,176.46,18.36,30,924
3153019,Langelsheim,Grundzentrum,15043,0,0,0,138.31,13.41,61,2068
3154008,Grasleben,Grundzentrum,2469,0,0,0,219.08,20.76,6,194
3154012,Jerxheim,Grundzentrum,1101,0,0,0,62.88,8.11,6,287
3154013,Königslutter am Elm,Grundzentrum,15933,1,1,132,121.51,12.08,53,1677
3154014,Lehre,Grundzentrum,12097,0,0,0,168.11,13.2,24,1186
3154019,Schöningen,Grundzentrum,11209,0,0,0,316.01,20.64,16,621
3154021,Süpplingen,Grundzentrum,1805,0,0,0,173.39,14.6,7,136
3154024,Velpke,Grundzentrum,4961,0,0,0,250.68,14.91,16,474
3155002,Bodenfelde,Grundzentrum,3061,0,0,0,154.83,17.55,12,390
3155003,Dassel,Grundzentrum,9698,0,0,0,85.64,10.97,34,822
3155005,Hardegsen,Grundzentrum,7715,0,0,0,91.81,11.25,36,1062
3155006,Kalefeld,Grundzentrum,6089,0,0,0,72.31,10.75,29,559
3155007,Katlenburg-Lindau,Grundzentrum,7144,0,0,0,99.9,11.69,23,449
3155009,Moringen,Grundzentrum,6988,0,0,0,84.82,10.88,22,478
3155010,Nörten-Hardenberg,Grundzentrum,8669,0,0,0,160.15,14.93,23,605
3157001,Edemissen,Grundzentrum,12506,0,0,0,120.11,12.66,43,1425
3157002,Hohenhameln,Grundzentrum,9539,0,0,0,137.07,15.12,29,1040
3157005,Lengede,Grundzentrum,14308,0,0,0,416.66,27.02,25,1203
3157007,Vechelde,Grundzentrum,18419,0,0,0,241.59,15.32,48,2403
3157008,Wendeburg,Grundzentrum,10542,0,0,0,175.26,14.61,26,1254
3157009,Ilsede,Grundzentrum,22206,0,0,0,307.48,19.75,39,1956
3158002,Baddeckenstedt,Grundzentrum,3140,0,0,0,153.55,14.62,13,401
3158004,Burgdorf,Grundzentrum,2228,0,0,0,92.03,9.71,12,290
3158006,Cremlingen,Grundzentrum,13289,0,0,0,223.38,16.78,39,1808
3158027,Schöppenstedt,Grundzentrum,5653,0,0,0,142.25,10.19,13,414
3158030,Sickte,Grundzentrum,6092,0,0,0,240.32,15.31,15,765
3158038,Börßum,Grundzentrum,2896,0,0,0,94.21,11.84,8,411
3158039,Schladen-Werla,Grundzentrum,8666,0,0,0,117.25,14.02,23,866
3158040,Remlingen-Semmenstedt,Grundzentrum,2396,0,0,0,71.67,8.67,7,212
3159001,Adelebsen,Grundzentrum,6224,0,0,0,81.8,9.15,20,825
3159002,Bad Grund (Harz),Grundzentrum,8114,0,0,0,196.42,19.73,26,693
3159003,Bad Lauterberg im Harz,Grundzentrum,10297,0,0,0,247.76,22.33,26,1258
3159004,Bad Sachsa,Grundzentrum,7406,0,0,0,223.07,17.44,19,531
3159007,Bovenden,Grundzentrum,14124,0,0,0,221.73,16.23,32,1442
3159009,Dransfeld,Grundzentrum,4378,0,0,0,151.44,12.28,10,537
3159011,Ebergötzen,Grundzentrum,1969,0,0,0,99.85,11.92,5,238
3159013,Friedland,Grundzentrum,14744,0,0,0,194.33,11.08,29,720
3159014,Gieboldehausen,Grundzentrum,3987,0,0,0,200.86,16.02,6,244
3159015,Gleichen,Grundzentrum,8807,0,0,0,68.14,8.15,49,902
3159018,Hattorf am Harz,Grundzentrum,3998,0,0,0,136.96,15.79,6,119
3159019,Herzberg am Harz,Grundzentrum,12829,1,3,424,178.48,18.42,38,1210
3159029,Rosdorf,Grundzentrum,12047,0,0,0,181.32,15.14,41,1141
3159034,Staufenberg,Grundzentrum,7811,0,0,0,100.68,12.9,33,1280
3159036,Walkenried,Grundzentrum,4499,0,0,0,213.73,21.43,18,468
3241006,Gehrden,Grundzentrum,15426,0,0,0,356.51,16.82,29,3846
3241007,Hemmingen,Grundzentrum,18870,0,0,0,594.71,23.92,26,2964
3241008,Isernhagen,Grundzentrum,24563,0,0,0,410.41,25.13,56,5411
3241013,Pattensen,Grundzentrum,14790,0,0,0,220.35,13.69,29,2035
3241014,Ronnenberg,Grundzentrum,24570,0,0,0,649.66,24.7,34,3581
3241015,Seelze,Grundzentrum,34742,0,0,0,642.42,25.11,52,5386
3241016,Sehnde,Grundzentrum,24157,0,0,0,233.22,17.12,47,3913
3241018,Uetze,Grundzentrum,20471,0,0,0,145.34,12.9,50,2555
3241019,Wedemark,Grundzentrum,29814,0,0,0,171.08,14.98,74,3665
3241020,Wennigsen (Deister),Grundzentrum,14216,0,0,0,263.65,14.5,24,1435
3251005,Barnstorf,Grundzentrum,6708,0,0,0,128.09,12.76,17,241
3251007,Bassum,Grundzentrum,16658,0,0,0,98.66,12.43,94,1691
3251021,Kirchdorf,Grundzentrum,2343,0,0,0,49.03,10.82,12,214
3251023,Lemförde,Grundzentrum,3415,0,0,0,491.37,33.67,7,198
3251030,Rehden,Grundzentrum,2390,0,0,0,71.66,12.05,3,126
3251032,Schwaförden,Grundzentrum,1499,0,0,0,57.65,10.46,3,156
3251034,Siedenburg,Grundzentrum,1287,0,0,0,90.44,12.3,11,254
3251042,Twistringen,Grundzentrum,12779,1,1,110,111.72,11.78,44,439
3251044,Wagenfeld,Grundzentrum,7366,0,0,0,62.65,11.3,74,787
3251047,Weyhe,Grundzentrum,31672,0,0,0,524.72,27.4,83,2473
3251049,Bruchhausen-Vilsen,Grundzentrum,9325,0,0,0,84.98,11.26,65,962
3252001,Aerzen,Grundzentrum,10570,0,0,0,100.42,11.89,84,2602
3252002,Bad Münder am Deister,Grundzentrum,17728,0,0,0,164.19,14.27,61,1531
3252004,Coppenbrügge,Grundzentrum,7142,0,0,0,79.29,10.26,48,1165
3252005,Emmerthal,Grundzentrum,9855,0,0,0,85.74,10.49,51,1596
3252007,Hessisch Oldendorf,Grundzentrum,18458,0,0,0,153.41,14.3,78,2092
3252008,Salzhemmendorf,Grundzentrum,9378,0,0,0,99.29,11.85,33,788
3254003,Algermissen,Grundzentrum,8256,0,0,0,231.2,15.09,13,407
3254005,Bad Salzdetfurth,Grundzentrum,13520,0,0,0,201.25,16.91,27,589
3254008,Bockenem,Grundzentrum,9830,0,0,0,89.4,10.92,30,822
3254011,Diekholzen,Grundzentrum,6283,0,0,0,207.91,12.94,9,419
3254014,Elze,Grundzentrum,9176,0,0,0,191.93,15.56,18,482
3254017,Giesen,Grundzentrum,9732,0,0,0,286.24,17.74,18,1013
3254020,Harsum,Grundzentrum,11438,0,0,0,228.76,14.96,18,485
3254022,Holle,Grundzentrum,7114,0,0,0,116.11,13.37,25,1082
3254026,Nordstemmen,Grundzentrum,12238,0,0,0,203.26,16.58,32,1126
3254029,Schellerten,Grundzentrum,7995,0,0,0,99.43,10.01,17,469
3254032,Söhlde,Grundzentrum,7988,0,0,0,139.04,12.74,19,488
3254041,Duingen,Grundzentrum,4957,0,0,0,83.12,9.67,23,478
3254042,Freden (Leine),Grundzentrum,4669,0,0,0,87.29,10.45,16,433
3254043,Gronau (Leine),Grundzentrum,10832,1,1,126,122.55,12.73,32,956
3254044,Lamspringe,Grundzentrum,5637,0,0,0,79.96,10.5,14,388
3254045,Sibbesse,Grundzentrum,5810,0,0,0,80.74,9.82,18,318
3255002,Bevern,Grundzentrum,3864,0,0,0,115.97,12,14,513
3255003,Bodenwerder,Grundzentrum,5634,0,0,0,193.94,16.25,20,796
3255004,Boffzen,Grundzentrum,2663,0,0,0,329.58,25.74,6,140
3255008,Delligsen,Grundzentrum,7673,0,0,0,211.9,17.62,23,613
3255013,Eschershausen,Grundzentrum,3644,0,0,0,152.34,14.26,10,352
3255026,Lauenförde,Grundzentrum,2390,0,0,0,138.95,15.41,6,254
3255033,Polle,Grundzentrum,1137,0,0,0,53.53,9.84,3,70
3255034,Stadtoldendorf,Grundzentrum,5726,0,0,0,229.78,17.9,10,465
3256004,Diepenau,Grundzentrum,4012,0,0,0,57.27,11.01,25,309
3256005,Drakenburg,Grundzentrum,1844,0,0,0,157.34,16.21,5,323
3256007,Eystrup,Grundzentrum,3582,0,0,0,148.51,14.55,13,598
3256012,Heemsen,Grundzentrum,1757,0,0,0,44.36,8.66,8,265
3256014,Hoya,Grundzentrum,3972,1,3,293,470.06,40,7,617
3256017,Landesbergen,Grundzentrum,2738,0,0,0,65.14,10.64,11,243
3256019,Liebenau,Grundzentrum,3930,0,0,0,170.28,14.86,8,187
3256021,Marklohe,Grundzentrum,4731,0,0,0,143.67,15.67,19,588
3256025,Rehburg-Loccum,Grundzentrum,10199,0,0,0,102.02,12.57,42,1548
3256027,Rohrsen,Grundzentrum,1112,0,0,0,216.76,19.88,4,286
3256029,Steimbke,Grundzentrum,2416,0,0,0,38.18,7.95,20,453
3256030,Steyerberg,Grundzentrum,5263,0,0,0,51.6,9.65,39,808
3256032,Stolzenau,Grundzentrum,7641,0,0,0,117.72,12.57,42,942
3256033,Uchte,Grundzentrum,5053,0,0,0,55.72,10.48,39,531
3257003,Auetal,Grundzentrum,6346,0,0,0,102.11,12.78,41,709
3257005,Bad Eilsen,Grundzentrum,2580,0,0,0,1048.78,46.34,3,113
3257010,Hagenburg,Grundzentrum,4584,0,0,0,282.44,18.36,10,368
3257013,Helpsen,Grundzentrum,1993,0,0,0,256.5,20.33,7,162
3257014,Hespe,Grundzentrum,2060,0,0,0,317.41,23.73,10,188
3257018,Lauenau,Grundzentrum,4367,0,0,0,268.74,17.78,7,206
3257020,Lindhorst,Grundzentrum,4482,0,0,0,568.78,27.66,11,255
3257023,Meerbeck,Grundzentrum,1875,0,0,0,143.24,14.9,8,154
3257025,Niedernwöhren,Grundzentrum,2008,0,0,0,181.56,15.01,6,111
3257026,Nienstädt,Grundzentrum,4476,0,0,0,538.63,39.59,16,340
3257028,Obernkirchen,Grundzentrum,9360,0,0,0,288.44,21.88,40,931
3257032,Rodenberg,Grundzentrum,6612,0,0,0,423.57,22.04,11,385
3257033,Sachsenhagen,Grundzentrum,2005,0,0,0,129.61,16.61,7,85
3257034,Seggebruch,Grundzentrum,1749,0,0,0,233.51,19.36,9,160
3351004,Bergen,Grundzentrum,13532,0,0,0,82.32,9.75,57,1110
3351007,Eicklingen,Grundzentrum,3389,0,0,0,148.06,14.46,12,235
3351010,Faßberg,Grundzentrum,6278,0,0,0,61.36,13.77,26,638
3351012,Hambühren,Grundzentrum,10855,0,0,0,191.08,14.19,25,1001
3351016,Lachendorf,Grundzentrum,6577,0,0,0,171.1,15.24,19,358
3351018,Nienhagen,Grundzentrum,6848,0,0,0,389.09,26.19,11,404
3351021,Wathlingen,Grundzentrum,6511,1,1,55,365.58,21.22,16,544
3351022,Wienhausen,Grundzentrum,4107,0,0,0,101.28,11.96,26,505
3351023,Wietze,Grundzentrum,8691,0,0,0,137.39,14.12,35,668
3351024,Winsen (Aller),Grundzentrum,13405,0,0,0,86.01,9.96,47,721
3351025,Eschede,Grundzentrum,5792,0,0,0,29.43,5.76,29,470
3351026,Südheide,Grundzentrum,11604,0,0,0,59.05,8.69,53,1069
3352025,Ihlienworth,Grundzentrum,1525,0,0,0,37.86,6.65,11,108
3352029,Lamstedt,Grundzentrum,3412,0,0,0,64.54,10.89,28,290
3352032,Loxstedt,Grundzentrum,16651,0,0,0,117.48,12.33,58,783
3352046,Otterndorf,Grundzentrum,7458,0,0,0,222.3,19.79,22,257
3352050,Schiffdorf,Grundzentrum,14935,0,0,0,131.5,13.57,43,1344
3352059,Beverstedt,Grundzentrum,13738,0,0,0,69.37,10.43,79,935
3352060,Hagen im Bremischen,Grundzentrum,11233,0,0,0,56.9,10.35,68,667
3352061,Wurster Nordseeküste,Grundzentrum,17461,0,0,0,96.08,13.47,95,1369
3352062,Geestland,Grundzentrum,31507,0,0,0,88.36,11.11,116,2650
3352063,Cadenberge,Grundzentrum,4193,0,0,0,135.35,12.43,17,149
3353016,Hanstedt,Grundzentrum,6193,0,0,0,104.28,10.79,30,923
3353019,Hollenstedt,Grundzentrum,3824,0,0,0,174.13,17.12,22,516
3353020,Jesteburg,Grundzentrum,8141,0,0,0,290.23,22.6,20,1149
3353023,Marschacht,Grundzentrum,3989,0,0,0,152.78,15.01,17,998
3353026,Neu Wulmstorf,Grundzentrum,22450,1,1,198,398.47,21.42,65,3147
3353029,Rosengarten,Grundzentrum,13836,0,0,0,216.9,18.76,66,2619
3353030,Salzhausen,Grundzentrum,4934,0,0,0,141.33,13.43,15,652
3353032,Stelle,Grundzentrum,11523,0,0,0,297.29,23.27,31,848
3353035,Tostedt,Grundzentrum,14578,0,0,0,300.89,18,41,828
3354002,Clenze,Grundzentrum,2301,0,0,0,31.8,7.48,0,0
3354004,Dannenberg (Elbe),Grundzentrum,8253,0,0,0,107.71,14.19,7,11
3354005,Gartow,Grundzentrum,1533,0,0,0,53.94,9.57,0,0
3354009,Hitzacker (Elbe),Grundzentrum,5107,0,0,0,87.05,11.74,11,40
3354026,Wustrow (Wendland),Grundzentrum,2779,0,0,0,92.05,11.63,0,0
3355001,Adendorf,Grundzentrum,10956,0,0,0,681.34,37.25,32,1558
3355002,Amelinghausen,Grundzentrum,4118,0,0,0,150.57,13.97,7,232
3355004,Bardowick,Grundzentrum,7095,0,0,0,304.11,24.95,20,834
3355005,Barendorf,Grundzentrum,2546,0,0,0,273.47,17.08,3,196
3355009,Bleckede,Grundzentrum,9694,0,0,0,68.92,8.81,65,1807
3355013,Dahlenburg,Grundzentrum,3419,0,0,0,68.3,10.55,24,861
3355016,Embsen,Grundzentrum,2793,0,0,0,122.39,12.97,9,338
3355024,Melbeck,Grundzentrum,3563,0,0,0,217.92,16.82,9,331
3355026,Neetze,Grundzentrum,2793,0,0,0,103.98,11.84,13,331
3355031,Reppenstedt,Grundzentrum,7634,0,0,0,513.38,20.98,17,830
3355033,Scharnebeck,Grundzentrum,3446,0,0,0,128.1,13.68,12,418
3355049,Amt Neuhaus,Grundzentrum,5320,0,0,0,22.35,6.03,59,459
3356002,Grasberg,Grundzentrum,8004,0,0,0,143.52,15.69,81,744
3356003,Hambergen,Grundzentrum,5697,0,0,0,187.83,17.51,27,519
3356005,Lilienthal,Grundzentrum,20293,0,0,0,279.79,17.76,53,2752
3356008,Ritterhude,Grundzentrum,15033,1,2,85,456.24,26.43,52,761
3356009,Schwanewede,Grundzentrum,20661,1,4,374,155.85,13.95,87,2771
3356011,Worpswede,Grundzentrum,9820,0,0,0,128.57,16.12,92,1300
3357006,Bothel,Grundzentrum,2448,0,0,0,146.5,16.04,5,138
3357016,Gnarrenburg,Grundzentrum,9205,0,0,0,74.7,10.67,67,1011
3357021,Heeslingen,Grundzentrum,4896,0,0,0,59.37,9.97,31,555
3357033,Lauenbrück,Grundzentrum,2590,1,1,0,117.62,13.49,15,269
3357035,Oerel,Grundzentrum,1926,0,0,0,56.9,10.87,13,359
3357041,Scheeßel,Grundzentrum,13065,0,0,0,87.09,11.43,49,856
3357043,Selsingen,Grundzentrum,3654,0,0,0,86.71,11.11,13,231
3357044,Sittensen,Grundzentrum,6102,0,0,0,329.3,28.66,7,292
3357045,Sottrum,Grundzentrum,6692,0,0,0,233.9,25.03,21,476
3357047,Tarmstedt,Grundzentrum,4167,0,0,0,157.01,14.88,10,305
3357051,Visselhövede,Grundzentrum,9792,0,0,0,61.51,10.01,66,1126
3358002,Bispingen,Grundzentrum,6494,0,0,0,50.54,9.53,33,569
3358008,Bad Fallingbostel,Grundzentrum,12340,0,0,0,192.75,17.98,38,507
3358014,Hodenhagen,Grundzentrum,3114,0,0,0,154.93,25.07,7,166
3358017,Neuenkirchen,Grundzentrum,5749,0,0,0,59.21,9.49,23,299
3358018,Rethem (Aller),Grundzentrum,2382,0,0,0,69.89,10.27,24,322
3358019,Schneverdingen,Grundzentrum,19140,1,1,53,81.47,9.74,92,1212
3358020,Schwarmstedt,Grundzentrum,5994,0,0,0,198.28,14.85,8,235
3358023,Wietzendorf,Grundzentrum,4169,0,0,0,38.75,8.05,31,417
3359002,Ahlerstedt,Grundzentrum,5595,0,0,0,89.43,11.46,31,437
3359003,Apensen,Grundzentrum,4535,0,0,0,218.24,14.73,8,139
3359013,Drochtersen,Grundzentrum,11290,0,0,0,89.04,8.27,69,1032
3359017,Fredenbeck,Grundzentrum,6525,0,0,0,134.2,12.09,29,575
3359018,Freiburg (Elbe),Grundzentrum,1830,0,0,0,53.54,5.97,7,225
3359020,Grünendeich,Grundzentrum,1879,0,0,0,479.34,25.51,11,270
3359023,Harsefeld,Grundzentrum,14696,1,1,150,283.27,16.46,43,933
3359025,Himmelpforten,Grundzentrum,5717,0,0,0,312.75,17.61,17,330
3359027,Horneburg,Grundzentrum,6936,0,0,0,404.9,18.74,19,448
3359028,Jork,Grundzentrum,12344,0,0,0,198.33,11.81,61,1505
3359036,Oldendorf,Grundzentrum,3143,0,0,0,131.18,12.98,8,161
3359039,Steinkirchen,Grundzentrum,1822,0,0,0,190.79,11.52,10,222
3359040,Wischhafen,Grundzentrum,3066,0,0,0,90.82,11.11,20,449
3360002,Bad Bevensen,Grundzentrum,9943,0,0,0,205.56,16.44,33,874
3360004,Bienenbüttel,Grundzentrum,6941,0,0,0,69.73,9.03,29,641
3360005,Bad Bodenteich,Grundzentrum,3877,0,0,0,77.32,11.45,16,275
3360006,Ebstorf,Grundzentrum,5429,0,0,0,198.94,16.89,13,345
3360018,Rosche,Grundzentrum,2034,0,0,0,28.19,7.1,22,356
3360023,Suderburg,Grundzentrum,4703,0,0,0,36.34,7.07,24,484
3360030,Wrestedt,Grundzentrum,6450,0,0,0,45.62,8.23,31,687
